vacancy_name,vacancy_reference,employer,employer_reference,location,service,min_salary,max_salary,vacancy_currency
Data Scientist,https://yaroslavl.hh.ru/vacancy/45287557?from=vacancy_search_list&query=data%20scientist,ООО МАГ Девелопмент,https://hh.ru/employer/4382297,Новосибирск,HeadHunter,,,
Senior Data Scientist (CV&NLP),https://yaroslavl.hh.ru/vacancy/46848317?from=vacancy_search_list&query=data%20scientist,Билайн,https://hh.ru/employer/4934,Москва,HeadHunter,,,
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/46666493?from=vacancy_search_list&query=data%20scientist,ООО Займиго МФК,https://hh.ru/employer/1457854,"Нижний Новгород, Горьковская",HeadHunter,160000.0,200000.0,руб.
Data Scientist (IT),https://yaroslavl.hh.ru/vacancy/46856725?from=vacancy_search_list&query=data%20scientist,IT-спеціаліст,https://hh.ru/employer/19887?dpt=19887-19887-it,Киев,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46812630?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,HeadHunter,,,
Data Scientist / Аналитик больших данных,https://yaroslavl.hh.ru/vacancy/46458560?from=vacancy_search_list&query=data%20scientist,МедиаНация,https://hh.ru/employer/584898,"Москва, Полянка и еще 1 ",HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/43505073?from=vacancy_search_list&query=data%20scientist,М.Видео-Эльдорадо. ИТ,https://hh.ru/employer/2523?dpt=2523-2523-itsfera,"Москва, Бауманская и еще 2 ",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46149708?from=vacancy_search_list&query=data%20scientist,DIGINETICA,https://hh.ru/employer/1723062,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/46772213?from=vacancy_search_list&query=data%20scientist,ООО Перфект Арт,https://hh.ru/employer/2618793,"Новосибирск, Площадь Гарина-Михайловского",HeadHunter,,,
Senior Data Scientist (в Анапу),https://yaroslavl.hh.ru/vacancy/46497621?from=vacancy_search_list&query=data%20scientist,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Ростов-на-Дону,HeadHunter,150000.0,250000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/42011548?from=vacancy_search_list&query=data%20scientist,ООО РАБЛЗ,https://hh.ru/employer/2223982,Москва,HeadHunter,,350000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46786963?from=vacancy_search_list&query=data%20scientist,Plarium,https://hh.ru/employer/1753419,Москва,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46531248?from=vacancy_search_list&query=data%20scientist,"Кернел, Группа компаний",https://hh.ru/employer/25236,"Киев, Крещатик",HeadHunter,,,
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/46294118?from=vacancy_search_list&query=data%20scientist,ООО НЕКСТ,https://hh.ru/employer/2498538,Москва,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46810298?from=vacancy_search_list&query=data%20scientist,Spice Agency,https://hh.ru/employer/654435,Москва,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46734713?from=vacancy_search_list&query=data%20scientist,СДЭК,https://hh.ru/employer/3530,Новосибирск,HeadHunter,,,
Data Engineer,https://yaroslavl.hh.ru/vacancy/46860504?from=vacancy_search_list&query=data%20scientist,Antal Ukraine,https://hh.ru/employer/4515708,Киев,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46783159?from=vacancy_search_list&query=data%20scientist,ТОО KAZ Minerals Management,https://hh.ru/employer/575263?dpt=kaz-575263-kmm,Алматы,HeadHunter,,,
Data Scientist (Middle),https://yaroslavl.hh.ru/vacancy/46190745?from=vacancy_search_list&query=data%20scientist,ООО Баум-Информ,https://hh.ru/employer/5465724,"Москва, Бауманская",HeadHunter,,,
Chief data scientist,https://yaroslavl.hh.ru/vacancy/46833951?from=vacancy_search_list&query=data%20scientist,Buyk,https://hh.ru/employer/5403422,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/46360129?from=vacancy_search_list&query=data%20scientist,Дром,https://hh.ru/employer/1781300,Москва,HeadHunter,,,
Senior Data Scientist (в Анапу),https://yaroslavl.hh.ru/vacancy/46497618?from=vacancy_search_list&query=data%20scientist,Digital Kitchen (ООО Цифровая кухня),https://hh.ru/employer/4425101,Санкт-Петербург,HeadHunter,150000.0,250000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46797944?from=vacancy_search_list&query=data%20scientist,Авито,https://hh.ru/employer/84585,"Москва, Белорусская",HeadHunter,,,
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/45767231?from=vacancy_search_list&query=data%20scientist,ТОО Khan Group,https://hh.ru/employer/2854137,Алматы,HeadHunter,500000.0,,KZT
Data Scientist\ Аналитик Data Science,https://yaroslavl.hh.ru/vacancy/46743517?from=vacancy_search_list&query=data%20scientist,КОРУС Консалтинг,https://hh.ru/employer/675,Москва,HeadHunter,,160000.0,руб.
Data Scientist,https://yaroslavl.hh.ru/vacancy/46554393?from=vacancy_search_list&query=data%20scientist,ООО УКР КРЕДИТ ФИНАНС,https://hh.ru/employer/2788383,Киев,HeadHunter,40000.0,56000.0,грн.
Старший специалист по интеллектуальному анализу данных (Data Scientist),https://yaroslavl.hh.ru/vacancy/46795855?from=vacancy_search_list&query=data%20scientist, Альфа-Банк,https://hh.ru/employer/80?dpt=80-80-bank,Москва,HeadHunter,,,
Data Scientist / ML-engineer (NLP),https://yaroslavl.hh.ru/vacancy/37085138?from=vacancy_search_list&query=data%20scientist,Just AI,https://hh.ru/employer/3833791,"Санкт-Петербург, Петроградская и еще 1 ",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46783544?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Санкт-Петербург,HeadHunter,,,
Senior data scientist,https://yaroslavl.hh.ru/vacancy/46093611?from=vacancy_search_list&query=data%20scientist,Аналитический центр при Правительстве Российской Федерации,https://hh.ru/employer/211052,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/46772192?from=vacancy_search_list&query=data%20scientist,ООО Перфект Арт,https://hh.ru/employer/2618793,Томск,HeadHunter,,,
Senior Data Scientist в команду генетики,https://yaroslavl.hh.ru/vacancy/46775869?from=vacancy_search_list&query=data%20scientist,Институт Искусственного Интеллекта,https://hh.ru/employer/5445348,Москва,HeadHunter,,,
Data scientist (ML разработчик),https://yaroslavl.hh.ru/vacancy/46141222?from=vacancy_search_list&query=data%20scientist,ООО Портал,https://hh.ru/employer/974305,Пермь,HeadHunter,,,
Специалист по машинному обучению/Data scientist,https://yaroslavl.hh.ru/vacancy/46127817?from=vacancy_search_list&query=data%20scientist,ООО Т8,https://hh.ru/employer/575393,Москва,HeadHunter,,,
Middle data scientist,https://yaroslavl.hh.ru/vacancy/46125724?from=vacancy_search_list&query=data%20scientist,"Компания «СПОРТМАСТЕР», SM Lab",https://hh.ru/employer/2343?dpt=2343-2343-it,"Москва, Аэропорт",HeadHunter,,,
Data Scientist (IT),https://yaroslavl.hh.ru/vacancy/46856543?from=vacancy_search_list&query=data%20scientist,IT-спеціаліст,https://hh.ru/employer/19887?dpt=19887-19887-it,Днепр (Днепропетровск),HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46048039?from=vacancy_search_list&query=data%20scientist,"Beeline, ТМ",https://hh.ru/employer/135317,Алматы,HeadHunter,,,
Data scientist/Эконометрист,https://yaroslavl.hh.ru/vacancy/42152539?from=vacancy_search_list&query=data%20scientist,dentsu,https://hh.ru/employer/6528,Москва,HeadHunter,,,
Senior Data scientist (Главный аналитик данных),https://yaroslavl.hh.ru/vacancy/45786634?from=vacancy_search_list&query=data%20scientist,"МАГНИТ, Розничная сеть",https://hh.ru/employer/49357,Краснодар,HeadHunter,,,
Data Scientist (NLP),https://yaroslavl.hh.ru/vacancy/46792767?from=vacancy_search_list&query=data%20scientist,Альфа-Банк. Экспертам и Руководителям,https://hh.ru/employer/80?dpt=80-80-expert,Москва,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/45570540?from=vacancy_search_list&query=data%20scientist,ФГБУ ЦСП ФМБА России,https://hh.ru/employer/2853703,"Москва, Покровское и еще 3 ",HeadHunter,,,
Data Analyst / Data Scientist / Report Developer,https://yaroslavl.hh.ru/vacancy/44070312?from=vacancy_search_list&query=data%20scientist,BMW,https://hh.ru/employer/7837,Москва,HeadHunter,,,
Data Scientist (эксперт по аналитическим данным),https://yaroslavl.hh.ru/vacancy/46813035?from=vacancy_search_list&query=data%20scientist,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Санкт-Петербург,HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/44727522?from=vacancy_search_list&query=data%20scientist,"Mail.ru Group, Другое",https://hh.ru/employer/15478?dpt=mailru-15478-other,"Москва, Аэропорт",HeadHunter,,,
Data Scientist / Аналитик данных,https://yaroslavl.hh.ru/vacancy/44880189?from=vacancy_search_list&query=data%20scientist,АО Рамакс Интернейшнл,https://hh.ru/employer/142514,"Москва, Александровский сад и еще 2 ",HeadHunter,,,
Senior Data Scientist,https://yaroslavl.hh.ru/vacancy/46794479?from=vacancy_search_list&query=data%20scientist,SOCIARO Inc.,https://hh.ru/employer/2921727,Москва,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/43183814?from=vacancy_search_list&query=data%20scientist,ЦРТ | Группа компаний,https://hh.ru/employer/4585,"Санкт-Петербург, Выборгская",HeadHunter,,,
Data Scientist,https://yaroslavl.hh.ru/vacancy/46741481?from=vacancy_search_list&query=data%20scientist,Selecty,https://hh.ru/employer/2406247,Москва,HeadHunter,,,
Data analyst,https://yaroslavl.hh.ru/vacancy/45583574?from=vacancy_search_list&query=data%20scientist,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,HeadHunter,,,
Data Scientist/Data Engineer,https://yaroslavl.hh.ru/vacancy/46820432?from=vacancy_search_list&query=data%20scientist,Auriga,https://hh.ru/employer/738,Москва,HeadHunter,,,
Machine Learning Engineer (Data Scientist),https://yaroslavl.hh.ru/vacancy/45688364?from=vacancy_search_list&query=data%20scientist,ООО Лайфтех,https://hh.ru/employer/4199338,Минск,HeadHunter,,,
Data scientist,https://yaroslavl.hh.ru/vacancy/46761183?from=vacancy_search_list&query=data%20scientist,Леруа Мерлен. Центральный офис,https://hh.ru/employer/8582?dpt=8582-8582-lmofis,Москва,HeadHunter,,,
